Terminal,Vdc_final,Vdc_min,Vdc_max,Vdc_pkpk,Vdc_final_pct_of_prefault,Vdc_min_pct_of_prefault,Vdc_collapse_pct,Vplus_final,Vminus_final,Iplus_abs_peak,Iplus_HPF_maxabs,Iplus_dHPF_maxabs,Iplus_dHPF_tmax,Iplus_f1,Iplus_f1_amp,Iminus_abs_peak,Iminus_HPF_maxabs,Iminus_dHPF_maxabs,Iminus_dHPF_tmax,Iminus_f1,Iminus_f1_amp,I_abs_peak_max,HPF_current_maxabs,dHPF_current_maxabs,Pole_current_asymmetry_pct
1,1943.53723848056,1931.04996384136,2029.55792068809,98.5079568467345,97.176861924028,96.552498192068,3.447501807931997,985.402061272206,-958.135177208353,409.682211473893,0.0635563195227592,662.200475144424,1.0,599.880023995201,0.0198944339164507,409.680557874105,0.0870641198039959,755.355166118117,1.0,599.880023995201,0.0198917623431873,409.682211473893,0.0870641198039959,755.355166118117,0.00040362987254906357
2,1943.53723848056,1931.04996384136,2029.55792068809,98.5079568467349,97.176861924028,96.552498192068,3.447501807931997,985.402061272206,-958.135177208353,409.682211473885,0.0635563266868897,662.200813932609,1.0,599.880023995201,0.0198944328434399,409.680557874107,0.0870642664299475,755.355337586674,1.0,599.880023995201,0.0198917571043527,409.682211473885,0.0870642664299475,755.355337586674,0.0004036298700931959
3,1428.69268465298,1428.68362690298,1849.85451445409,421.170887551112,78.15605495913456,78.15555945858753,21.84444054141247,713.977183705444,-714.715500947531,481.763248906152,301.387153376034,46349185.2721899,1.0,579.884023195361,0.0499603526942767,477.906559762221,301.42515879952,46349370.9780881,1.0,579.884023195361,0.0499676880096012,481.763248906152,301.42515879952,46349370.9780881,0.800536187159911
4,1328.60366611631,1328.59779261482,1764.47938707901,435.881594464185,76.13774590924413,76.13740931890086,23.862590681099135,664.315942971141,-664.287723145169,167.190579489764,0.170599616994637,1641.00670626735,1.0,639.872025594881,0.0003762976915444,167.19064037569,0.170734885097972,1640.4035841471,1.0,639.872025594881,0.0003861793227584,167.19064037569,0.170734885097972,1641.00670626735,3.641706609978723e-05
