Signal,Terminal,Pole,PeakFreq1_Hz,PeakAmp1,PeakFreq2_Hz,PeakAmp2,PeakFreq3_Hz,PeakAmp3,HPF_MaxAbs,D_HPF_MaxAbs
I_1+,1,+,599.880023995201,0.0198944339164507,739.852029594081,0.0075426709544466,899.820035992801,0.0042491550865465,0.0635563195227592,662.200475144424
I_1-,1,-,599.880023995201,0.0198917623431873,739.852029594081,0.0074899048168951,899.820035992801,0.0044003660171325,0.0870641198039959,755.355166118117
I_2+,2,+,599.880023995201,0.0198944328434399,739.852029594081,0.0075426641085334,899.820035992801,0.0042491462610489,0.0635563266868897,662.200813932609
I_2-,2,-,599.880023995201,0.0198917571043527,739.852029594081,0.0074899051666638,899.820035992801,0.0044003631745294,0.0870642664299475,755.355337586674
I_3+,3,+,579.884023195361,0.0499603526942767,739.852029594081,0.0159513742529773,659.868026394721,0.0126623410203112,301.387153376034,46349185.2721899
I_3-,3,-,579.884023195361,0.0499676880096012,739.852029594081,0.0167516876377812,659.868026394721,0.0123585516291921,301.42515879952,46349370.9780881
I_4+,4,+,639.872025594881,0.0003762976915444,919.816036792642,0.0003428687756362,559.888022395521,0.0002699115235898,0.170599616994637,1641.00670626735
I_4-,4,-,639.872025594881,0.0003861793227584,919.816036792642,0.0003358680932643,559.888022395521,0.0002695471815983,0.170734885097972,1640.4035841471
