Signal,RawMean,RawFinal,RawMin,RawMax,RawPkPk,FaultWindowMean,FaultWindowMin,FaultWindowMax,FaultWindowPkPk,HPF_RMS,HPF_MaxAbs,HPF_PkPk,D_HPF_MaxAbs,D_HPF_TimeOfMax,PeakFreq1_Hz,PeakAmp1,PeakFreq2_Hz,PeakAmp2,PeakFreq3_Hz,PeakAmp3
V_1,1972.508631902,1943.53723848056,1931.04996384136,2029.55792068809,98.5079568467345,1981.8143418771,1943.09733381636,2029.48104215149,86.3837083351248,0.347834468192489,0.716710791170087,1.39911698777857,6278.49864434325,1.03408,599.880023995201,0.472906635021985,899.820035992801,0.146123344737245,1179.76404719056,0.0573797131757073
V_1+,986.248408152793,985.402061272206,949.035435857395,1021.55706770172,72.5216318443225,992.062811100977,958.259878109714,1021.54186490996,63.2819868002459,0.218051773316255,0.690973631887279,1.27111481360914,6139.57797081263,1.04744,599.880023995201,0.23620671035434,739.852029594081,0.112932713952387,899.820035992801,0.0729524052057923
V_1-,-986.260223749209,-958.135177208353,-1021.57118021972,-949.031687669083,72.5394925506407,-989.75153077612,-1020.55235984981,-956.955140361125,63.5972194886876,0.207833045046698,0.68756860908895,1.26095017335452,6192.46325449561,1.04412,599.880023995201,0.236700026058058,739.852029594081,0.113123061533599,899.820035992801,0.0731709761245748
I_1+,303.907692963008,399.949582709282,136.067416380923,409.682211473893,273.614795092971,283.892112317902,138.135777636645,373.095345276237,234.959567639591,0.0183814620772744,0.0635563195227592,0.112644029966011,662.200475144424,1,599.880023995201,0.0198944339164507,739.852029594081,0.00754267095444667,899.820035992801,0.00424915508654659
I_1-,-303.913588969453,-407.165491446271,-409.680557874105,-136.068685686078,273.611872188027,-283.883457744447,-367.386368109508,-139.88395478104,227.502413328468,0.0194741445162864,0.0870641198039959,0.150256147235096,755.355166118117,1,599.880023995201,0.0198917623431873,739.852029594081,0.00748990481689514,899.820035992801,0.0044003660171325
V_2,1972.508631902,1943.53723848056,1931.04996384136,2029.55792068809,98.5079568467349,1981.8143418771,1943.09733381636,2029.48104215149,86.383708335125,0.347834279385452,0.716711732461728,1.39911550701776,6278.50295879866,1.03408,599.880023995201,0.472906621620761,899.820035992801,0.146123312506247,1179.76404719056,0.057379692553822
V_2+,986.248408152793,985.402061272206,949.035435857395,1021.55706770172,72.5216318443225,992.062811100977,958.259878109714,1021.54186490996,63.2819868002462,0.218051776389831,0.690974812406525,1.27111628656054,6139.5809335947,1.04744,599.880023995201,0.236206391406333,739.852029594081,0.112932754481327,899.820035992801,0.0729523654297848
V_2-,-986.260223749209,-958.135177208353,-1021.57118021972,-949.031687669083,72.5394925506403,-989.75153077612,-1020.55235984981,-956.955140361125,63.5972194886874,0.207832957523975,0.687568798994764,1.26094944663945,6192.46168824639,1.04412,599.880023995201,0.236699874424136,739.852029594081,0.113123115383503,899.820035992801,0.0731709809897304
I_2+,303.907692963008,399.949582709285,136.067416380938,409.682211473885,273.614795092947,283.892112317903,138.135777636649,373.095345276236,234.959567639587,0.0183814613147288,0.0635563266868897,0.112644087318079,662.200813932609,1,599.880023995201,0.0198944328434399,739.852029594081,0.00754266410853343,899.820035992801,0.00424914626104891
I_2-,-303.913588969453,-407.165491446271,-409.680557874107,-136.06868568607,273.611872188037,-283.883457744448,-367.386368109508,-139.883954781044,227.502413328463,0.0194741579388656,0.0870642664299475,0.15025676098266,755.355337586674,1,599.880023995201,0.0198917571043527,739.852029594081,0.0074899051666638,899.820035992801,0.00440036317452949
V_3,1586.90967346505,1428.69268465298,1428.68362690298,1849.85451445409,421.170887551112,1593.91100898636,1473.35521164576,1847.33327518431,373.978063538551,0.162722279879563,3.20216502809336,4.47769358908856,167015.6002867,1,579.884023195361,0.000881704111376361,899.820035992801,0.000188910342757285,699.860027994401,0.000168828516791043
V_3+,793.455247756905,713.977183705444,713.917533434157,925.080413120287,211.16287968613,796.933917158677,737.015526742734,923.507740223,186.492213480265,0.0813264709451001,1.60077011716016,2.23826531454561,83510.0286715839,1,579.884023195361,0.00044054953084425,739.852029594081,0.000148776308770804,899.820035992801,9.15702416145927e-05
V_3-,-793.454425708143,-714.715500947531,-925.080935509977,-713.917101848607,211.163833661369,-796.977091827678,-923.825534961313,-736.339684903028,187.485850058285,0.0813969078921861,1.60139286523791,2.23942669228067,83505.57884945,1,579.884023195361,0.000441166640864262,739.852029594081,0.000143088734961355,899.820035992801,9.72758524624599e-05
